latitude,longitude
47.412643,-123.323036
47.412643,-123.323036
47.412643,-123.323036
47.412643,-123.323036
47.412643,-123.323036
47.412647,-123.323039
47.412657,-123.323051
47.412667,-123.323076
47.412681,-123.323109
47.412695,-123.323147
47.412714,-123.323187
47.412733,-123.323235
47.412754,-123.323286
47.41278,-123.323332
47.412802,-123.323378
47.412821,-123.323421
47.41284,-123.323462
47.412861,-123.323507
47.412888,-123.323556
47.412915,-123.323611
47.41294,-123.323666
47.412964,-123.323712
47.412992,-123.323779
47.413024,-123.323838
47.413058,-123.323891
47.413091,-123.323947
47.413121,-123.324003
47.413151,-123.324058
47.413184,-123.324127
47.413209,-123.324186
47.41324,-123.324252
47.413273,-123.324318
47.413307,-123.324387
47.413335,-123.324444
47.413367,-123.324515
47.4134,-123.324589
47.413429,-123.324655
47.413457,-123.324716
47.413488,-123.324777
47.413521,-123.324837
47.413553,-123.324896
47.413594,-123.324974
47.413627,-123.32505
47.413667,-123.325105
47.413711,-123.325166
47.41375,-123.325226
47.41379,-123.325279
47.413825,-123.325334
47.413862,-123.325393
47.413898,-123.325449
47.413935,-123.325507
47.413968,-123.325563
47.413997,-123.32562
47.414028,-123.32567
47.414067,-123.325731
47.4141,-123.32579
47.414135,-123.325841
47.414166,-123.325891
47.414205,-123.325948
47.414237,-123.325992
47.414274,-123.32603
47.414309,-123.32607
47.414343,-123.326122
47.414376,-123.326189
47.414409,-123.326248
47.414444,-123.326299
47.414474,-123.326349
47.41451,-123.32641
47.414541,-123.326471
47.414575,-123.326534
47.41461,-123.3266
47.414649,-123.326662
47.414687,-123.326724
47.414724,-123.326796
47.414759,-123.326866
47.414794,-123.326926
47.41483,-123.326999
47.414858,-123.327066
47.414885,-123.32713
47.414924,-123.32721
47.414965,-123.3273
47.415003,-123.32738
47.415043,-123.327447
47.415082,-123.327504
47.415119,-123.327558
47.415159,-123.327629
47.415197,-123.327689
47.415232,-123.327738
47.415269,-123.32778
47.415304,-123.327835
47.415343,-123.327896
47.415379,-123.327953
47.415412,-123.328001
47.415454,-123.328049
47.415493,-123.328079
47.415523,-123.328111
47.41555,-123.328148
47.41558,-123.328178
47.415606,-123.328207
47.415634,-123.328228
47.415663,-123.328243
47.415689,-123.328258
47.415727,-123.328276
47.415763,-123.328297
47.415788,-123.328314
47.415808,-123.328339
47.415831,-123.328375
47.415852,-123.328432
47.415864,-123.328497
47.415867,-123.328553
47.415863,-123.32861
47.415847,-123.328652
47.415826,-123.328682
47.415798,-123.328713
47.415768,-123.328743
47.415736,-123.328774
47.415701,-123.328806
47.415664,-123.328844
47.415628,-123.328881
47.415591,-123.328913
47.415558,-123.328947
47.415523,-123.328974
47.41548,-123.329008
47.415442,-123.329033
47.415409,-123.329061
47.415378,-123.329084
47.415341,-123.329109
47.4153,-123.329138
47.415261,-123.329161
47.41522,-123.329182
47.415178,-123.329197
47.415127,-123.329212
47.415081,-123.329227
47.415036,-123.329243
47.414994,-123.329254
47.414954,-123.329256
47.41492,-123.329266
47.414887,-123.329281
47.41486,-123.329296
47.414833,-123.329312
47.414807,-123.329321
47.414781,-123.329313
47.414761,-123.329308
47.414748,-123.329306
47.414729,-123.329298
47.414709,-123.329288
47.414687,-123.329273
47.414671,-123.329257
47.414663,-123.329244
47.414655,-123.329234
47.414647,-123.329217
47.414634,-123.329192
47.41462,-123.329161
47.414607,-123.329131
47.414591,-123.329103
47.414575,-123.329078
47.414565,-123.329044
47.414548,-123.329004
47.414524,-123.328958
47.414499,-123.32891
47.41448,-123.328859
47.41446,-123.328811
47.414437,-123.32876
47.414415,-123.328712
47.414396,-123.328659
47.414376,-123.328607
47.414353,-123.328559
47.414332,-123.328508
47.414312,-123.328462
47.414293,-123.328417
47.414273,-123.328369
47.414249,-123.328318
47.414224,-123.328272
47.4142,-123.328226
47.414174,-123.32818
47.41415,-123.328135
47.414124,-123.328089
47.4141,-123.328043
47.414075,-123.327997
47.414054,-123.327954
47.414036,-123.327911
47.414009,-123.32786
47.413981,-123.327814
47.413953,-123.32777
47.413928,-123.327728
47.413897,-123.327677
47.413866,-123.327633
47.41383,-123.327595
47.413794,-123.327557
47.413762,-123.327519
47.413721,-123.327479
47.41368,-123.327435
47.413649,-123.327397
47.413621,-123.327361
47.413596,-123.327328
47.413565,-123.32729
47.413536,-123.327254
47.413508,-123.327221
47.413479,-123.327185
47.413449,-123.32715
47.413412,-123.327107
47.413377,-123.327069
47.413345,-123.327033
47.413313,-123.327
47.413269,-123.326964
47.413233,-123.326936
47.413199,-123.326911
47.413153,-123.326878
47.413109,-123.32684
47.413071,-123.326806
47.413035,-123.326783
47.413006,-123.326758
47.412973,-123.326725
47.412929,-123.326685
47.412887,-123.326641
47.412848,-123.326603
47.412813,-123.326559
47.412771,-123.326506
47.412733,-123.326469
47.412688,-123.32642
47.412649,-123.326384
47.412612,-123.326354
47.412572,-123.326319
47.412538,-123.326277
47.412504,-123.326245
47.412467,-123.326207
47.412425,-123.326166
47.412384,-123.326123
47.412354,-123.326087
47.41234,-123.326058
47.41232,-123.326035
47.412295,-123.326008
47.412266,-123.325968
47.412239,-123.325926
47.412212,-123.325896
47.412184,-123.325865
47.412154,-123.325835
47.412122,-123.325804
47.41209,-123.325776
47.412063,-123.325751
47.412033,-123.325718
47.411997,-123.325687
47.411966,-123.325669
47.411932,-123.325644
47.411895,-123.325616
47.411853,-123.325591
47.411812,-123.325563
47.411777,-123.325542
47.41175,-123.325529
47.411719,-123.325517
47.411687,-123.325494
47.411654,-123.325475
47.411622,-123.325465
47.411587,-123.32545
47.411549,-123.325433
47.411512,-123.32541
47.411477,-123.325382
47.411444,-123.325351
47.41141,-123.325334
47.411368,-123.325315
47.411326,-123.325305
47.411287,-123.325288
47.411252,-123.325267
47.41122,-123.32525
47.411194,-123.325229
47.411168,-123.325209
47.411143,-123.325181
47.411109,-123.32516
47.411069,-123.325145
47.411033,-123.325128
47.41099,-123.325111
47.410941,-123.325109
47.41088,-123.325102
47.410818,-123.325092
47.410776,-123.325074
47.41074,-123.325054
47.410704,-123.325036
47.410676,-123.325013
47.410652,-123.324988
47.410626,-123.32496
47.410604,-123.324939
47.410579,-123.324924
47.410552,-123.324909
47.410519,-123.324889
47.410482,-123.32486
47.410448,-123.324835
47.410414,-123.324805
47.410384,-123.324774
47.410355,-123.324746
47.410333,-123.324723
47.410309,-123.324696
47.410283,-123.324656
47.410259,-123.32461
47.41023,-123.324564
47.410197,-123.324514
47.410167,-123.324455
47.410142,-123.324404
47.41012,-123.324358
47.410098,-123.32431
47.410069,-123.324257
47.410049,-123.324205
47.41003,-123.324157
47.410001,-123.324104
47.409968,-123.324053
47.409936,-123.324003
47.409903,-123.323944
47.409875,-123.323893
47.40985,-123.32384
47.40982,-123.323774
47.409794,-123.323715
47.409766,-123.323664
47.409739,-123.323618
47.409715,-123.323565
47.409682,-123.323499
47.409649,-123.323443
47.409617,-123.323401
47.409595,-123.323366
47.409573,-123.323323
47.409565,-123.323285
47.409562,-123.323244
47.409552,-123.323201
47.409543,-123.323158
47.409521,-123.323109
47.4095,-123.323071
47.409474,-123.323035
47.409446,-123.323002
47.409406,-123.322964
47.409371,-123.322928
47.409335,-123.3229
47.409302,-123.322877
47.409264,-123.322856
47.409227,-123.322841
47.409194,-123.322826
47.409162,-123.32281
47.409124,-123.322793
47.409078,-123.32277
47.409031,-123.32275
47.408997,-123.322732
47.408966,-123.322709
47.408929,-123.322688
47.408896,-123.322675
47.408866,-123.322668
47.408831,-123.32266
47.408788,-123.32265
47.408752,-123.322637
47.408708,-123.32263
47.408662,-123.322622
47.408618,-123.322617
47.408585,-123.322614
47.408545,-123.322605
47.4085,-123.322589
47.40846,-123.322578
47.408426,-123.322574
47.408391,-123.322554
47.408358,-123.322524
47.408325,-123.322491
47.408283,-123.322457
47.408234,-123.322434
47.408197,-123.322411
47.408164,-123.322389
47.408128,-123.322366
47.408081,-123.322347
47.408043,-123.32234
47.408007,-123.322328
47.407977,-123.322307
47.407946,-123.322292
47.407912,-123.322274
47.407875,-123.322256
47.407846,-123.322248
47.407809,-123.322236
47.407769,-123.322215
47.407735,-123.322205
47.407701,-123.322205
47.407667,-123.322205
47.407633,-123.322205
47.407602,-123.322207
47.40757,-123.322214
47.407541,-123.322222
47.407504,-123.32223
47.407464,-123.32224
47.407429,-123.322257
47.407393,-123.322278
47.40736,-123.322293
47.407323,-123.32231
47.407288,-123.322333
47.407251,-123.322358
47.407215,-123.322387
47.407177,-123.322412
47.40714,-123.32244
47.407106,-123.322463
47.407075,-123.322486
47.40705,-123.322509
47.407014,-123.322534
47.406966,-123.322558
47.406923,-123.322572
47.406876,-123.322605
47.406831,-123.322641
47.406802,-123.322667
47.406784,-123.322682
47.406753,-123.322697
47.406709,-123.32271
47.406661,-123.322718
47.406622,-123.322728
47.406588,-123.322741
47.406557,-123.322748
47.406522,-123.322754
47.406486,-123.322754
47.406445,-123.322752
47.406409,-123.322742
47.406372,-123.322727
47.406324,-123.322711
47.406291,-123.322698
47.406259,-123.322686
47.406226,-123.322663
47.406194,-123.322638
47.406158,-123.322605
47.406117,-123.322572
47.406082,-123.322549
47.406051,-123.322528
47.406009,-123.322511
47.405967,-123.322486
47.405924,-123.322453
47.405884,-123.322419
47.405854,-123.322398
47.405818,-123.322385
47.405782,-123.32238
47.405757,-123.32238
47.405723,-123.322378
47.405683,-123.32237
47.405648,-123.322365
47.40561,-123.322365
47.405571,-123.322363
47.405533,-123.322355
47.405495,-123.32235
47.405459,-123.32235
47.405425,-123.32235
47.405385,-123.322347
47.405349,-123.322342
47.405307,-123.322342
47.405268,-123.322344
47.405234,-123.32235
47.405193,-123.322352
47.405158,-123.322359
47.405124,-123.322371
47.405086,-123.32239
47.405058,-123.3224
47.405019,-123.322417
47.404971,-123.322438
47.404934,-123.322453
47.4049,-123.322469
47.404853,-123.322479
47.404811,-123.322475
47.404772,-123.322462
47.404738,-123.32245
47.404699,-123.322425
47.404666,-123.322394
47.404635,-123.322359
47.404608,-123.322318
47.404587,-123.322281
47.404561,-123.322231
47.40454,-123.322193
47.404526,-123.322155
47.404516,-123.322113
47.404512,-123.322059
47.404515,-123.322008
47.404519,-123.32196
47.404524,-123.321911
47.404531,-123.321868
47.404536,-123.321813
47.404542,-123.321754
47.404546,-123.3217
47.404549,-123.321645
47.40455,-123.321586
47.404551,-123.321533
47.404549,-123.321481
47.404546,-123.321434
47.404539,-123.321378
47.404531,-123.321319
47.404522,-123.321263
47.404511,-123.321205
47.404501,-123.321149
47.404493,-123.321087
47.404484,-123.321024
47.404474,-123.320963
47.404464,-123.32091
47.404446,-123.320839
47.404427,-123.320767
47.404418,-123.320702
47.404412,-123.32063
47.4044,-123.320569
47.404388,-123.320501
47.404374,-123.320424
47.404364,-123.320363
47.404357,-123.320295
47.404342,-123.320214
47.404327,-123.320144
47.40431,-123.320086
47.40429,-123.320017
47.404271,-123.319949
47.404256,-123.319876
47.404236,-123.319798
47.404225,-123.319735
47.404212,-123.319662
47.404198,-123.319585
47.404191,-123.319524
47.404191,-123.31946
47.40418,-123.319392
47.404175,-123.319321
47.40417,-123.319242
47.404156,-123.319165
47.404146,-123.3191
47.40414,-123.319021
47.404136,-123.31894
47.404122,-123.318861
47.404108,-123.318775
47.404088,-123.318683
47.404064,-123.318592
47.404037,-123.3185
47.404012,-123.318417
47.403986,-123.318352
47.403955,-123.318273
47.40392,-123.318194
47.40389,-123.31813
47.403866,-123.318077
47.40384,-123.318021
47.403814,-123.31796
47.403783,-123.317906
47.403757,-123.317865
47.403727,-123.317821
47.403696,-123.317781
47.403666,-123.317735
47.403635,-123.317692
47.403605,-123.317658
47.40357,-123.317629
47.403524,-123.31759
47.403483,-123.317567
47.403446,-123.317539
47.403398,-123.317506
47.403361,-123.317483
47.403317,-123.317455
47.403272,-123.317419
47.403236,-123.317389
47.403191,-123.317356
47.403145,-123.31732
47.403107,-123.317292
47.403064,-123.317265
47.403013,-123.317229
47.402971,-123.317201
47.402935,-123.317175
47.402899,-123.317147
47.402869,-123.317122
47.402837,-123.317091
47.402802,-123.317063
47.402764,-123.317038
47.402727,-123.31701
47.402691,-123.316985
47.40265,-123.316954
47.402602,-123.316926
47.402559,-123.316903
47.402515,-123.316876
47.40247,-123.31684
47.402423,-123.316809
47.402378,-123.316781
47.402325,-123.31676
47.402273,-123.316741
47.402213,-123.316708
47.402155,-123.31667
47.402105,-123.316636
47.402068,-123.316613
47.402026,-123.31659
47.401987,-123.31657
47.401952,-123.316545
47.401917,-123.316504
47.401882,-123.316471
47.40185,-123.316433
47.401802,-123.316397
47.40175,-123.316369
47.401709,-123.316344
47.401677,-123.316316
47.401643,-123.316293
47.401606,-123.31627
47.401551,-123.316249
47.401526,-123.316232
47.401492,-123.316207
47.401451,-123.316178
47.401414,-123.316155
47.401379,-123.316132
47.40134,-123.316112
47.401301,-123.316099
47.401265,-123.316089
47.401221,-123.316076
47.401189,-123.316064
47.401156,-123.316043
47.401123,-123.316026
47.401087,-123.316001
47.401056,-123.31597
47.40102,-123.315937
47.400983,-123.315908
47.400952,-123.3159
47.400928,-123.315891
47.4009,-123.315875
47.400867,-123.315858
47.400825,-123.315835
47.400788,-123.315814
47.400761,-123.31579
47.400716,-123.315747
47.400659,-123.315708
47.400613,-123.315672
47.400563,-123.315644
47.400515,-123.315619
47.400471,-123.315589
47.400428,-123.315558
47.400379,-123.315532
47.40034,-123.31551
47.400297,-123.315469
47.400253,-123.315431
47.400215,-123.315408
47.400176,-123.315378
47.400134,-123.31533
47.400092,-123.315283
47.400047,-123.315248
47.399998,-123.315209
47.399958,-123.315184
47.399909,-123.315156
47.399858,-123.315135
47.39982,-123.31512
47.399777,-123.315103
47.399738,-123.31508
47.399695,-123.315055
47.399649,-123.315024
47.399604,-123.314998
47.399561,-123.314983
47.399516,-123.314967
47.399473,-123.314954
47.399428,-123.314945
47.399384,-123.314932
47.399343,-123.314924
47.399299,-123.314919
47.399256,-123.314914
47.399211,-123.314901
47.399169,-123.314893
47.399129,-123.314888
47.399089,-123.314886
47.399046,-123.31488
47.399002,-123.314878
47.398958,-123.314873
47.398912,-123.314871
47.398866,-123.314865
47.398817,-123.314865
47.398771,-123.314865
47.398723,-123.314865
47.398674,-123.314863
47.398634,-123.314858
47.398587,-123.314858
47.398539,-123.314858
47.398492,-123.314855
47.398443,-123.31485
47.398397,-123.31485
47.398352,-123.314852
47.398306,-123.314858
47.39826,-123.31486
47.398213,-123.314867
47.398162,-123.314871
47.398115,-123.314863
47.398078,-123.314858
47.398035,-123.314855
47.397996,-123.31485
47.397971,-123.31485
47.397939,-123.31485
47.397907,-123.31485
47.397879,-123.314852
47.397849,-123.314858
47.397818,-123.314855
47.397789,-123.31485
47.39776,-123.314848
47.39773,-123.31484
47.397709,-123.314832
47.397682,-123.314822
47.397656,-123.314807
47.397632,-123.314794
47.397606,-123.314787
47.39758,-123.314781
47.397558,-123.314779
47.397536,-123.314771
47.397508,-123.314764
47.397485,-123.314754
47.397462,-123.314743
47.397439,-123.314743
47.397418,-123.314743
47.397402,-123.314743
47.397384,-123.314743
47.397367,-123.314741
47.397346,-123.314731
47.397329,-123.314718
47.397311,-123.314708
47.397297,-123.314693
47.397284,-123.314678
47.397263,-123.314662
47.397242,-123.314645
47.397221,-123.314624
47.397197,-123.314611
47.397172,-123.314603
47.397148,-123.314594
47.397121,-123.314578
47.397093,-123.314563
47.397064,-123.31455
47.397037,-123.314542
47.397008,-123.314532
47.396977,-123.314519
47.396954,-123.314512
47.396931,-123.314504
47.396904,-123.314497
47.396875,-123.314487
47.396844,-123.314474
47.396821,-123.314459
47.396797,-123.314427
47.396774,-123.314402
47.396755,-123.314403
47.396728,-123.314392
47.396702,-123.31439
47.396675,-123.314384
47.396647,-123.314382
47.396617,-123.314377
47.396587,-123.314372
47.396558,-123.314359
47.396525,-123.314352
47.396498,-123.314344
47.396477,-123.314336
47.396454,-123.314327
47.396429,-123.314314
47.396409,-123.314306
47.396386,-123.314301
47.396362,-123.314298
47.396335,-123.314291
47.396307,-123.314281
47.396279,-123.314265
47.396255,-123.314252
47.39623,-123.314245
47.396205,-123.314237
47.396179,-123.31423
47.396153,-123.314222
47.396128,-123.314217
47.396099,-123.314212
47.396072,-123.314201
47.396045,-123.314199
47.396019,-123.314194
47.395992,-123.314189
47.395964,-123.314176
47.395935,-123.314169
47.395908,-123.314163
47.39588,-123.314159
47.395852,-123.314143
47.39583,-123.314128
47.395809,-123.314115
47.39578,-123.314108
47.395749,-123.314104
47.395724,-123.314108
47.395693,-123.3141
47.395664,-123.314095
47.395636,-123.31409
47.395606,-123.314077
47.395575,-123.314072
47.395544,-123.314072
47.39551,-123.314072
47.39548,-123.314074
47.395452,-123.314079
47.395427,-123.314079
47.395398,-123.314077
47.395371,-123.314074
47.395344,-123.314077
47.395317,-123.314066
47.395286,-123.314045
47.395257,-123.314031
47.395229,-123.314026
47.3952,-123.314024
47.395176,-123.314018
47.395148,-123.314016
47.39512,-123.314008
47.395096,-123.314001
47.395071,-123.313993
47.395047,-123.313985
47.395023,-123.313978
47.394996,-123.313969
47.394967,-123.313958
47.394938,-123.313947
47.394909,-123.313942
47.39488,-123.313942
47.394844,-123.31394
47.394811,-123.313932
47.394786,-123.313927
47.394761,-123.313927
47.394737,-123.313927
47.394711,-123.313927
47.394687,-123.313927
47.394654,-123.313925
47.394619,-123.313917
47.394591,-123.313909
47.39456,-123.313897
47.394527,-123.313879
47.394495,-123.313871
47.394459,-123.313861
47.394427,-123.313846
47.394405,-123.313833
47.394374,-123.313825
47.394345,-123.313816
47.394318,-123.313803
47.394291,-123.313795
47.394263,-123.313787
47.394232,-123.313777
47.394199,-123.31376
47.394169,-123.313741
47.394145,-123.313734
47.394124,-123.313726
47.394097,-123.313715
47.394073,-123.313692
47.394057,-123.313671
47.394034,-123.313656
47.394001,-123.313639
47.393973,-123.31362
47.393954,-123.313612
47.393934,-123.313604
47.393911,-123.313599
47.393888,-123.313597
47.393864,-123.313591
47.393836,-123.313589
47.393815,-123.313578
47.393789,-123.313557
47.393766,-123.313541
47.393744,-123.313526
47.393724,-123.313513
47.393702,-123.313507
47.393681,-123.313505
47.393656,-123.313498
47.393634,-123.313488
47.393614,-123.313475
47.393591,-123.313467
47.393568,-123.313459
47.393544,-123.313452
47.393518,-123.313444
47.393492,-123.313435
47.393469,-123.313423
47.393445,-123.313421
47.393419,-123.313414
47.393396,-123.313404
47.393373,-123.313391
47.393352,-123.313385
47.393332,-123.313385
47.393312,-123.313383
47.393291,-123.313375
47.393269,-123.313368
47.393243,-123.31336
47.393221,-123.313351
47.393198,-123.313337
47.393176,-123.31333
47.393155,-123.313324
47.393129,-123.313322
47.393105,-123.313314
47.393078,-123.313309
47.393052,-123.313307
47.393025,-123.313299
47.392998,-123.313291
47.39297,-123.313284
47.39294,-123.313272
47.392911,-123.313255
47.392888,-123.313253
47.392861,-123.313248
47.392834,-123.31325
47.392808,-123.313255
47.39278,-123.313253
47.39275,-123.313248
47.392723,-123.313248
47.392695,-123.313248
47.392666,-123.313248
47.392636,-123.313245
47.392602,-123.313242
47.392577,-123.313248
47.392544,-123.313246
47.39251,-123.31324
47.392486,-123.31324
47.39246,-123.31324
47.392432,-123.313245
47.392401,-123.313255
47.392371,-123.313255
47.392339,-123.313258
47.392307,-123.313263
47.392277,-123.313261
47.392242,-123.313255
47.392218,-123.313255
47.392198,-123.313255
47.392175,-123.313253
47.39215,-123.313252
47.392121,-123.313261
47.3921,-123.313249
47.392078,-123.313226
47.392049,-123.313201
47.392017,-123.313175
47.391988,-123.313159
47.391955,-123.313142
47.391925,-123.313121
47.391894,-123.313104
47.391863,-123.313081
47.391837,-123.31306
47.39182,-123.313043
47.391795,-123.31302
47.39177,-123.312999
47.391756,-123.312982
47.391736,-123.312961
47.391716,-123.312946
47.391705,-123.312928
47.391692,-123.312903
47.391677,-123.312875
47.391662,-123.312854
47.391643,-123.312837
47.391617,-123.312812
47.391591,-123.312785
47.391569,-123.312768
47.391549,-123.312745
47.391525,-123.312722
47.391499,-123.312699
47.391478,-123.312676
47.391452,-123.312649
47.391409,-123.312608
47.391368,-123.312572
47.391333,-123.312554
47.391289,-123.312534
47.39125,-123.312516
47.391209,-123.312496
47.391175,-123.312485
47.391151,-123.312483
47.391122,-123.312473
47.391088,-123.312455
47.391052,-123.312437
47.391017,-123.312429
47.390984,-123.312421
47.390947,-123.312414
47.390914,-123.312404
47.390882,-123.312389
47.390843,-123.312376
47.390794,-123.312357
47.390747,-123.312311
47.390707,-123.312268
47.390662,-123.312234
47.390624,-123.312215
47.390593,-123.312208
47.390564,-123.312198
47.390534,-123.312183
47.390499,-123.312172
47.39047,-123.312165
47.390437,-123.312142
47.390408,-123.312124
47.390385,-123.312116
47.390357,-123.312109
47.390326,-123.312099
47.390294,-123.312086
47.390261,-123.312078
47.390231,-123.312071
47.3902,-123.312065
47.39017,-123.312063
47.390139,-123.312055
47.390108,-123.312048
47.390073,-123.31204
47.39004,-123.312032
47.390008,-123.312025
47.389975,-123.312019
47.389944,-123.312017
47.38991,-123.312012
47.38988,-123.31201
47.389849,-123.312004
47.389819,-123.312004
47.389789,-123.312006
47.389763,-123.312014
47.389735,-123.312022
47.389704,-123.312029
47.38967,-123.312035
47.389632,-123.312032
47.389601,-123.312027
47.38957,-123.312027
47.389537,-123.312027
47.389507,-123.312029
47.38948,-123.312039
47.389454,-123.31205
47.389426,-123.312054
47.389395,-123.312067
47.389364,-123.312075
47.38933,-123.31208
47.3893,-123.31208
47.389269,-123.31208
47.389238,-123.312083
47.389205,-123.312088
47.389172,-123.312088
47.389136,-123.312086
47.389103,-123.31208
47.389067,-123.31208
47.389037,-123.31208
47.389003,-123.31208
47.388963,-123.312078
47.388927,-123.312071
47.388886,-123.312065
47.38885,-123.31207
47.388817,-123.31208
47.388781,-123.31208
47.388751,-123.312078
47.388719,-123.312073
47.388687,-123.312073
47.388657,-123.312073
47.388619,-123.312071
47.388581,-123.312063
47.388541,-123.312055
47.388502,-123.312048
47.388468,-123.312042
47.388435,-123.31204
47.388394,-123.312035
47.388356,-123.312032
47.388317,-123.312027
47.388281,-123.312027
47.388251,-123.312025
47.38822,-123.312017
47.388188,-123.312012
47.388151,-123.312012
47.388117,-123.312012
47.388086,-123.312012
47.388051,-123.312009
47.388018,-123.312002
47.387987,-123.311999
47.387952,-123.312002
47.387917,-123.311988
47.387879,-123.311961
47.387841,-123.311953
47.387803,-123.311961
47.38777,-123.311968
47.387742,-123.311976
47.387719,-123.311983
47.387693,-123.311993
47.387662,-123.312004
47.387638,-123.312004
47.387611,-123.312004
47.387585,-123.312002
47.387557,-123.311994
47.387526,-123.311984
47.387496,-123.311971
47.387465,-123.311964
47.387434,-123.311958
47.387404,-123.311956
47.387373,-123.311951
47.387343,-123.311951
47.387311,-123.311948
47.387279,-123.311943
47.387251,-123.311945
47.387221,-123.311951
47.38719,-123.311951
47.387159,-123.311951
47.387126,-123.311951
47.387095,-123.311951
47.387065,-123.311953
47.387033,-123.311958
47.387,-123.311958
47.38697,-123.311958
